timestamp,remote_timestamp,observed_offset,estimated_offset,round_trip_time
1444378830,1550508383615502,-1550506939244179,-1550506939240390,15007
1444506809,1550508383742082,-1550506939256977,-1550506939240390,42768
1444598749,1550508383836072,-1550506939255005,-1550506939240390,35351
1444688310,1550508383924845,-1550506939249183,-1550506939240390,25288
1444779584,1550508384016363,-1550506939244887,-1550506939240390,16201
1444889423,1550508384126084,-1550506939249451,-1550506939240390,25572
1444982580,1550508384218751,-1550506939243406,-1550506939240390,14462
1445093102,1550508384330103,-1550506939249174,-1550506939240390,23406
1445186359,1550508384421122,-1550506939241457,-1550506939240390,13373
1445294289,1550508384530945,-1550506939244978,-1550506939240390,16636
1445385305,1550508384622765,-1550506939241450,-1550506939240387,7939
1445512424,1550508384749706,-1550506939252544,-1550506939240387,30517
1445604737,1550508384840450,-1550506939245675,-1550506939240387,19919
1445715288,1550508384950649,-1550506939248123,-1550506939240387,25519
1445807365,1550508385043126,-1550506939244199,-1550506939240387,16870
1445921625,1550508385154462,-1550506939246130,-1550506939240387,26579
1446010510,1550508385246134,-1550506939244422,-1550506939240387,16002
1446121732,1550508385355861,-1550506939247108,-1550506939240387,25945
1446209628,1550508385447702,-1550506939243260,-1550506939240387,10359
1446338283,1550508385573509,-1550506939256631,-1550506939240387,42804
1446430437,1550508385668094,-1550506939254603,-1550506939240387,33885
1446518776,1550508385756393,-1550506939247095,-1550506939240387,18948
1446612733,1550508385848906,-1550506939242983,-1550506939240387,12852
1446721500,1550508385958956,-1550506939247551,-1550506939240387,20174
1446833291,1550508386069155,-1550506939252093,-1550506939240387,32450
1446925285,1550508386160267,-1550506939247460,-1550506939240387,24950
1447033495,1550508386270864,-1550506939252053,-1550506939240387,29360
1447128366,1550508386362919,-1550506939246338,-1550506939240387,23563
1447220560,1550508386454529,-1550506939242664,-1550506939240387,12851
1447436796,1550508386673172,-1550506939249886,-1550506939240387,27014
1447528525,1550508386763612,-1550506939244663,-1550506939240387,19144
1447618859,1550508386856561,-1550506939242521,-1550506939240387,9599
1447728648,1550508386965288,-1550506939246335,-1550506939240387,19385
1447822335,1550508387058274,-1550506939242113,-1550506939240387,12340
1447933097,1550508387169125,-1550506939247835,-1550506939240387,23608
1448026048,1550508387260544,-1550506939239595,-1550506939240387,10192
1448134305,1550508387371025,-1550506939246759,-1550506939240387,20071
1448223575,1550508387461373,-1550506939242035,-1550506939240385,8432
1448349640,1550508387587682,-1550506939253356,-1550506939240385,30620
1448443104,1550508387680337,-1550506939249268,-1550506939240385,24055
1448534809,1550508387771703,-1550506939244503,-1550506939240385,15205
